[30;1m2023-05-18 18:42:52[0m [34;1mINFO    [0m [35mdiscord.client[0m logging in using static token
[30;1m2023-05-18 18:42:53[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'CoderHubBot', 'mfa_enabled': False, 'id': '1107081000783200276', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4099', 'bot': True, 'avatar': 'b9cb34b29471dced4861f4a7fed2efd8'}, 'session_type': 'normal', 'session_id': '426015586220aa85b01adf65d0b9a84c', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '920459385938018376'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santa-clara', 'us-west', 'seattle', 'us-south', 'us-central'], 'application': {'id': '1107081000783200276', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-c-lx3p",{"micros":107383,"calls":["id_created",{"micros":1878,"calls":[]},"session_lookup_time",{"micros":338,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-11",{"micros":102904,"calls":["start_session",{"micros":59205,"calls":["discord-api-59bfcccdc-b6pq2",{"micros":55355,"calls":["get_user",{"micros":12450},"get_guilds",{"micros":3263},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":784},"authorized_ip_coro",{"micros":14}]}]},"starting_guild_connect",{"micros":64,"calls":[]},"presence_started",{"micros":227,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"guilds_connect",{"micros":4,"calls":[]},"presence_connect",{"micros":43290,"calls":[]},"connect_finished",{"micros":43296,"calls":[]},"build_ready",{"micros":19,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":19,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[30;1m2023-05-18 18:42:53[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-05-18 18:42:53[0m [34;1mINFO    [0m [35mdiscord.gateway[0m Shard ID None has connected to Gateway (Session ID: 426015586220aa85b01adf65d0b9a84c).
[30;1m2023-05-18 18:42:53[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event connect
[30;1m2023-05-18 18:42:53[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'member_count': 10, 'premium_progress_bar_enabled': False, 'home_header': None, 'default_message_notifications': 0, 'large': False, 'public_updates_channel_id': None, 'embedded_activities': [], 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'icon': 'fd4d4ad9612b6b9c788ec23f8cd369bd', 'splash': None, 'explicit_content_filter': 0, 'nsfw_level': 0, 'banner': None, 'latest_onboarding_question_id': None, 'emojis': [], 'description': None, 'unavailable': False, 'application_id': None, 'owner_id': '553797699200352278', 'id': '920459385938018376', 'mfa_level': 0, 'region': 'deprecated', 'nsfw': False, 'stickers': [], 'safety_alerts_channel_id': None, 'rules_channel_id': None, 'joined_at': '2023-05-14T04:20:35.919000+00:00', 'premium_subscription_count': 0, 'incidents_data': None, 'threads': [], 'features': [], 'members': [{'user': {'username': 'CoderHubBot', 'public_flags': 0, 'id': '1107081000783200276', 'global_name': None, 'display_name': None, 'discriminator': '4099', 'bot': True, 'avatar_decoration': None, 'avatar': 'b9cb34b29471dced4861f4a7fed2efd8'}, 'roles': ['1107160511080038400', '920943798601777153'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-05-14T04:20:35.919000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '137411140505153', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '920459385938018376', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 30, 'permissions': '1099511103487', 'name': 'admin', 'mentionable': True, 'managed': False, 'id': '920459663072440372', 'icon': None, 'hoist': True, 'flags': 0, 'color': 15277667}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 25, 'permissions': '1071698660929', 'name': 'BOT', 'mentionable': False, 'managed': False, 'id': '920943798601777153', 'icon': None, 'hoist': True, 'flags': 0, 'color': 3066993}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 23, 'permissions': '1071698660929', 'name': 'Good Programmer', 'mentionable': False, 'managed': False, 'id': '920943922350551050', 'icon': None, 'hoist': False, 'flags': 0, 'color': 15844367}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 24, 'permissions': '1071698660929', 'name': 'Executive Programmer', 'mentionable': False, 'managed': False, 'id': '920944015061450812', 'icon': None, 'hoist': False, 'flags': 0, 'color': 15158332}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 22, 'permissions': '1071698660929', 'name': 'Basic Programmer', 'mentionable': False, 'managed': False, 'id': '920944161136476180', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 28, 'permissions': '1071698529857', 'name': 'Member', 'mentionable': False, 'managed': False, 'id': '921175419368112178', 'icon': None, 'hoist': True, 'flags': 0, 'color': 62719}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 20, 'permissions': '1071698660929', 'name': 'Java', 'mentionable': False, 'managed': False, 'id': '921931326830047232', 'icon': None, 'hoist': False, 'flags': 0, 'color': 12347080}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 16, 'permissions': '1071698660929', 'name': 'Python', 'mentionable': False, 'managed': False, 'id': '921931843614429225', 'icon': None, 'hoist': False, 'flags': 0, 'color': 9422821}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 10, 'permissions': '0', 'name': 'He/Him', 'mentionable': False, 'managed': False, 'id': '921950996081557544', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 9, 'permissions': '0', 'name': 'She/Her', 'mentionable': False, 'managed': False, 'id': '921950996492603462', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 8, 'permissions': '0', 'name': 'They/Them', 'mentionable': False, 'managed': False, 'id': '921950997214031892', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 7, 'permissions': '0', 'name': 'Ask Pronoun', 'mentionable': False, 'managed': False, 'id': '921950997247561781', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 6, 'permissions': '0', 'name': 'muted', 'mentionable': False, 'managed': False, 'id': '921951182908448788', 'icon': None, 'hoist': False, 'flags': 0, 'color': 16007755}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 19, 'permissions': '1071698660929', 'name': 'C++', 'mentionable': False, 'managed': False, 'id': '921951914491543603', 'icon': None, 'hoist': False, 'flags': 0, 'color': 3447003}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 18, 'permissions': '1071698660929', 'name': 'Javascript', 'mentionable': False, 'managed': False, 'id': '921952004014768168', 'icon': None, 'hoist': False, 'flags': 0, 'color': 3066993}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '1071698660929', 'name': 'PST', 'mentionable': False, 'managed': False, 'id': '922016770171224085', 'icon': None, 'hoist': False, 'flags': 0, 'color': 9807270}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '1071698660929', 'name': 'MST', 'mentionable': False, 'managed': False, 'id': '922017055195160607', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '1071698660929', 'name': 'CST', 'mentionable': False, 'managed': False, 'id': '922017240512094218', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '1071698660929', 'name': 'EST', 'mentionable': False, 'managed': False, 'id': '922017291883925535', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 17, 'permissions': '1071698660929', 'name': 'C#', 'mentionable': False, 'managed': False, 'id': '922022149735219231', 'icon': None, 'hoist': False, 'flags': 0, 'color': 3066993}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 15, 'permissions': '1071698660929', 'name': 'C', 'mentionable': False, 'managed': False, 'id': '922022421589024858', 'icon': None, 'hoist': False, 'flags': 0, 'color': 15844367}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 14, 'permissions': '1071698660929', 'name': 'C++', 'mentionable': False, 'managed': False, 'id': '922022490514026516', 'icon': None, 'hoist': False, 'flags': 0, 'color': 15158332}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 13, 'permissions': '1071698660929', 'name': 'Swift', 'mentionable': False, 'managed': False, 'id': '922022609741316146', 'icon': None, 'hoist': False, 'flags': 0, 'color': 2067276}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 12, 'permissions': '1071698660929', 'name': 'MatLab', 'mentionable': False, 'managed': False, 'id': '922031699125223424', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 11, 'permissions': '1071698660929', 'name': 'HTML', 'mentionable': False, 'managed': False, 'id': '922364016804913152', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {'bot_id': '454435851548753932'}, 'position': 1, 'permissions': '2780823519', 'name': 'Nooby Bot', 'mentionable': False, 'managed': True, 'id': '923126244650917921', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 29, 'permissions': '1071698660929', 'name': 'AP CSA Coach', 'mentionable': True, 'managed': False, 'id': '944118232913174629', 'icon': None, 'hoist': True, 'flags': 0, 'color': 15105570}, {'version': 1684038035897, 'unicode_emoji': None, 'tags': {'bot_id': '1107081000783200276'}, 'position': 1, 'permissions': '8', 'name': 'CoderHubBot', 'mentionable': False, 'managed': True, 'id': '1107160511080038400', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'preferred_locale': 'en-US', 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': 'RB+6gQ'}, 'metadata': {'omitted': False, 'hash': '1jsMqQ'}, 'channels': {'omitted': False, 'hash': 'zKs2Tw'}}, 'verification_level': 0, 'presences': [], 'system_channel_flags': 0, 'afk_channel_id': None, 'channels': [{'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 20, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '921570249512464384', 'name': 'personal-projects', 'last_message_id': '1098069127278633061', 'id': '920460611261984818', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 24, 'permission_overwrites': [], 'parent_id': '928881335513284698', 'name': 'opportunities', 'last_message_id': '983838040256569456', 'id': '942489806380863559', 'flags': 0}, {'version': 0, 'type': 0, 'topic': 'you can only send a number do the last person that sent a number is not you', 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'counting', 'last_message_id': '1032121351848345650', 'id': '926272085679046666', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '920459386416156713', 'name': 'Teaching', 'last_message_id': None, 'id': '952410230770241578', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '920459386416156713', 'name': 'General', 'last_message_id': None, 'id': '920459386416156715', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '920459386416156713', 'name': 'Programming Talk', 'last_message_id': None, 'id': '920461114238726204', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'foodie', 'last_message_id': '1030354452542132284', 'id': '974559345629089792', 'flags': 0}, {'version': 0, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '920459386416156713', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 13, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'memes', 'last_message_id': '1085106067274469446', 'id': '931917186782593045', 'flags': 0}, {'version': 1667709373851, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 17, 'permission_overwrites': [{'type': 0, 'id': '920459385938018376', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '767889855052120065', 'deny': '0', 'allow': '1024'}], 'parent_id': '920459386416156712', 'name': 'mod-chat', 'last_pin_timestamp': '2021-12-20T05:59:23+00:00', 'last_message_id': '1096291748713607168', 'id': '921960836417863731', 'flags': 0}, {'version': 0, 'type': 4, 'position': 2, 'permission_overwrites': [], 'name': 'Project', 'id': '921570249512464384', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '920459386416156713', 'name': 'Music', 'last_message_id': None, 'id': '920916272072495134', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 23, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '928881335513284698', 'name': 'coding-tutorial', 'last_pin_timestamp': '2022-01-19T19:08:22+00:00', 'last_message_id': '978121464807051274', 'id': '921544801868976159', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '920459386416156712', 'name': 'bot-commands', 'last_pin_timestamp': '2022-06-19T08:19:11+00:00', 'last_message_id': '1107946306145624105', 'id': '920568590002974741', 'flags': 0}, {'version': 0, 'type': 4, 'position': 4, 'permission_overwrites': [], 'name': 'Resources', 'id': '928881335513284698', 'flags': 0}, {'version': 1684296074061, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '920459386416156712', 'name': 'general', 'last_pin_timestamp': '2023-05-17T04:01:14+00:00', 'last_message_id': '1108908704163709028', 'id': '920459386416156714', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Welcome', 'id': '932839372779307018', 'flags': 0}, {'version': 0, 'type': 0, 'topic': 'Please Reply to any Announcements in General', 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '920459385938018376', 'deny': '2147497984', 'allow': '65536'}, {'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}, {'type': 0, 'id': '920459663072440372', 'deny': '0', 'allow': '0'}], 'parent_id': '932839372779307018', 'name': 'announcements', 'last_pin_timestamp': '2022-03-11T04:51:30+00:00', 'last_message_id': '1030359383303012402', 'id': '921061128820371476', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 22, 'permission_overwrites': [], 'parent_id': '920459386416156713', 'name': 'voice-chat', 'last_pin_timestamp': '2022-05-12T04:06:41+00:00', 'last_message_id': '1084361210964754442', 'id': '932840607771160686', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '921175419368112178', 'deny': '0', 'allow': '0'}, {'type': 0, 'id': '920459385938018376', 'deny': '121064585232', 'allow': '66561'}, {'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '932839372779307018', 'name': 'roles', 'last_message_id': '1036929272641769483', 'id': '921925682311868447', 'flags': 0}, {'version': 1666666300869, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 15, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'future-life-planning', 'last_pin_timestamp': '2022-10-25T02:51:40+00:00', 'last_message_id': '1097102743879037009', 'id': '930016859158347796', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'the-better-general', 'last_pin_timestamp': '2022-06-03T06:36:27+00:00', 'last_message_id': '1041370742954139678', 'id': '922005215606079559', 'flags': 0}, {'version': 0, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Main', 'id': '920459386416156712', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 14, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'tips-and-tricks', 'last_message_id': '1088601303166484601', 'id': '934725502378319972', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 18, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'confessions', 'last_message_id': '1101427227696046080', 'id': '974564113797750794', 'flags': 0}, {'version': 0, 'type': 0, 'topic': 'Be careful what you say. You might get cancelled.', 'rate_limit_per_user': 0, 'position': 16, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'what-shape-is-earth', 'last_message_id': '1108234883077259284', 'id': '953473734637936730', 'flags': 0}, {'version': 1684041568249, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 12, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '920459386416156712', 'name': 'programming', 'last_pin_timestamp': '2023-05-14T05:19:28+00:00', 'last_message_id': '1108930126860787772', 'id': '920460306029875262', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 11, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'art', 'last_message_id': '1057599744609882142', 'id': '974470275586469929', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 21, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '921570249512464384', 'name': 'official-plans', 'last_message_id': '934526070064037928', 'id': '920507484895076384', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '932839372779307018', 'name': 'rules', 'last_message_id': '934653874168557678', 'id': '932836677641175050', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '920459386416156712', 'name': 'homework-help', 'last_pin_timestamp': '2022-05-29T20:52:56+00:00', 'last_message_id': '1108578772829085780', 'id': '953497924359311360', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '932839372779307018', 'name': 'welcome', 'last_message_id': '1107160511671455875', 'id': '920460340834217985', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 19, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '921570249512464384', 'name': 'brainstorming', 'last_pin_timestamp': '2022-01-05T23:46:24+00:00', 'last_message_id': '971985744602230804', 'id': '920460941420810250', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '921951182908448788', 'deny': '2112', 'allow': '0'}], 'parent_id': '932839372779307018', 'name': 'introductions', 'last_message_id': '1107431235711680683', 'id': '921189205869223937', 'flags': 0}], 'lazy': True, 'stage_instances': [], 'voice_states': [], 'max_members': 500000, 'discovery_splash': None, 'vanity_url_code': None, 'max_video_channel_users': 25, 'application_command_counts': {'1': 2}, 'name': 'Coder Hub', 'hub_type': None, 'afk_timeout': 300, 'premium_tier': 0, 'system_channel_id': '920460340834217985'}}
[30;1m2023-05-18 18:42:53[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-05-18 18:42:53[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event guild_available
[30;1m2023-05-18 18:42:55[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event ready
[30;1m2023-05-18 18:43:02[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 3, 'op': 0, 'd': {'user_id': '419742686426300447', 'timestamp': 1684460581, 'member': {'user': {'username': 'Steve.exe', 'public_flags': 64, 'id': '419742686426300447', 'global_name': None, 'display_name': None, 'discriminator': '8742', 'bot': False, 'avatar_decoration': None, 'avatar': '136afa048f6dfd1ad4622ca07ccb9144'}, 'roles': ['921931326830047232', '922364016804913152', '944118232913174629', '921950996081557544', '921931843614429225', '920943922350551050', '921952004014768168', '921175419368112178', '920459663072440372', '922016770171224085', '922022490514026516', '922022421589024858', '922022149735219231'], 'premium_since': None, 'pending': False, 'nick': 'Clem', 'mute': False, 'joined_at': '2021-12-17T04:21:14.474000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'channel_id': '920460306029875262', 'guild_id': '920459385938018376'}}
[30;1m2023-05-18 18:43:02[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-05-18 18:43:02[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event typing
[30;1m2023-05-18 18:43:02[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event raw_typing
[30;1m2023-05-18 18:43:03[0m [40;1mDEBUG   [0m [35mdiscord.gateway[0m For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2023-05-19T01:43:01.560000+00:00', 'referenced_message': None, 'pinned': False, 'nonce': '1108932800943226880', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['921931326830047232', '922364016804913152', '944118232913174629', '921950996081557544', '921931843614429225', '920943922350551050', '921952004014768168', '921175419368112178', '920459663072440372', '922016770171224085', '922022490514026516', '922022421589024858', '922022149735219231'], 'premium_since': None, 'pending': False, 'nick': 'Clem', 'mute': False, 'joined_at': '2021-12-17T04:21:14.474000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '1108932796078108754', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'coderbot hi', 'components': [], 'channel_id': '920460306029875262', 'author': {'username': 'Steve.exe', 'public_flags': 64, 'id': '419742686426300447', 'global_name': None, 'discriminator': '8742', 'avatar_decoration': None, 'avatar': '136afa048f6dfd1ad4622ca07ccb9144'}, 'attachments': [], 'guild_id': '920459385938018376'}}
[30;1m2023-05-18 18:43:03[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event socket_event_type
[30;1m2023-05-18 18:43:03[0m [40;1mDEBUG   [0m [35mdiscord.client[0m Dispatching event message
